experiment_date,species,stage,strain,treatment,conc,cell,total_worms,top_worms,bottom_worms,cue_side,cue,cue_conc
20211122,Cel,Adult,N2,NA,NA,D2,9,1,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,A3,8,4,0,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,B3,12,6,0,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,C3,10,2,0,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,D3,7,0,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,A4,7,4,0,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,B4,13,6,0,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,C4,8,2,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,D4,6,0,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,A5,15,8,1,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,B5,15,3,0,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,C5,8,3,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,D5,4,1,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,A6,8,3,1,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,B6,4,1,1,top,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,C6,7,2,1,bottom,NaCl,200 mM
20211122,Cel,Adult,N2,NA,NA,D6,5,2,2,bottom,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,A1,12,5,0,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,B1,14,6,4,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,C1,8,4,4,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,D1,12,5,3,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,A2,10,6,5,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,B2,16,9,6,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,C2,17,9,3,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,D2,16,9,3,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,A3,11,6,5,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,B3,9,6,3,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,C3,16,8,4,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,D3,17,8,0,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,A4,12,5,3,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,B4,11,5,1,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,C4,15,6,1,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,D4,18,7,2,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,A5,8,3,2,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,B5,12,8,1,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,C5,11,4,0,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,D5,12,8,0,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,A6,10,2,3,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,B6,14,7,4,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,C6,X,X,X,top,NaCl,200 mM
20211201,Cel,Adult,N2,NA,NA,D6,13,5,0,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,A1,9,4,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,B1,14,4,4,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,C1,17,4,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,D1,4,0,5,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,A2,9,3,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,B2,16,3,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,C2,14,4,6,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,D2,11,1,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,A3,6,1,2,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,B3,16,2,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,C3,17,5,1,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,D3,8,5,4,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,A4,5,3,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,B4,8,2,6,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,C4,18,2,4,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,D4,13,6,0,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,A5,10,4,5,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,B5,10,5,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,C5,11,1,3,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,D5,15,3,4,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,A6,8,4,4,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,B6,14,4,1,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,C6,16,3,4,top,NaCl,200 mM
20211201,Cel,Adult,PR678,NA,NA,D6,18,3,1,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,A1,8,3,3,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,B1,10,2,6,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,C1,6,2,1,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,D1,4,0,1,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,A2,10,3,5,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,B2,5,1,2,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,C2,13,2,2,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,D2,8,2,2,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,A3,8,1,3,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,B3,8,3,1,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,C3,6,1,0,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,D3,7,1,2,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,A4,9,2,3,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,B4,11,2,0,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,C4,7,2,0,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,D4,8,2,2,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,A5,7,1,5,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,B5,7,1,2,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,C5,10,1,0,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,D5,7,0,1,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,A6,9,2,5,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,B6,6,1,1,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,C6,6,1,0,top,NaCl,200 mM
20211210,Cel,Adult,PR678,NA,NA,D6,5,3,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,A1,6,4,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,B1,14,7,6,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,C1,8,2,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,D1,4,3,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,A2,9,4,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,B2,10,7,3,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,C2,11,4,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,D2,10,5,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,A3,5,3,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,B3,6,3,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,C3,14,8,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,D3,12,7,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,A4,6,5,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,B4,9,5,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,C4,10,6,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,D4,9,4,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,A5,6,4,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,B5,10,6,3,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,C5,7,3,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,D5,8,5,3,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,A6,5,2,1,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,B6,4,1,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,C6,4,3,2,top,NaCl,200 mM
20211215,Cel,Adult,N2,NA,NA,D6,7,4,3,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,A1,4,4,1,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,B1,9,4,1,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,C1,8,0,3,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,D1,5,1,2,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,A2,X,X,X,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,B2,13,3,4,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,C2,9,3,1,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,D2,9,3,3,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,A3,10,4,1,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,B3,8,5,2,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,C3,4,1,2,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,D3,11,2,1,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,A4,6,1,4,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,B4,11,2,3,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,C4,10,2,2,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,D4,6,1,2,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,A5,8,2,6,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,B5,10,2,1,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,C5,6,5,2,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,D5,6,1,1,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,A6,10,1,7,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,B6,7,1,3,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,C6,8,3,3,top,NaCl,200 mM
20211215,Cel,Adult,PR678,NA,NA,D6,4,2,2,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,A1,2,0,1,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,B1,6,4,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,C1,5,3,2,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,D1,8,3,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,A2,6,5,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,B2,8,3,2,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,C2,8,5,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,D2,6,1,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,A3,8,6,1,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,B3,10,5,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,C3,5,2,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,D3,7,2,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,A4,7,2,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,B4,9,5,1,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,C4,7,4,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,D4,8,6,1,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,A5,9,5,2,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,B5,7,5,1,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,C5,6,4,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,D5,10,5,2,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,A6,7,1,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,B6,6,6,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,C6,7,2,0,top,NaCl,200 mM
20211217,Cel,Adult,N2,NA,NA,D6,6,4,3,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,A1,5,2,3,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,B1,9,4,2,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,C1,6,1,0,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,D1,6,1,2,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,A2,3,3,3,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,B2,5,2,2,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,C2,5,1,3,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,D2,7,3,1,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,A3,6,3,1,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,B3,6,3,3,top,NaCl,200 mM
20211217,Cel,Adult,PR678,NA,NA,C3,2,2,1,top,NaCl,200 mM
